video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=g6H9Q8wB4h8,/c/NBCNews,NBC News,2020: The Year Of Climate Extremes | Nightly News Films,2.1M,2.1M views,,2022-01-31 12:57:40.693388
/watch?v=3ONXxIxiyh0,/c/TCMOriginals,TCM Originals,Climate change and its impact on Pakistan,15K,15K views,,2022-01-31 12:57:40.699342
/watch?v=PKRAj96jG8Y,/c/LateNightSeth,Late Night with Seth Meyers,Sen. Bernie Sanders Takes on Fossil Fuel Lobby in Fight Over Climate Change: A Closer Look,1.1M,1.1M views,,2022-01-31 12:57:40.705347
/watch?v=jAa58N4Jlos,/channel/UCT90nd90McLzkJ00ha3dTQg,DJI Captures,Climate Change - A Short Film [4K],265K,265K views,,2022-01-31 12:57:40.710912
/watch?v=KqNHdY90StU,/c/SabineHossenfelder,Sabine Hossenfelder,Does Climate Change cause Extreme Weather?,153K,153K views,,2022-01-31 12:57:40.717384
/watch?v=Kt0_KsPyhKU,/c/dwnews,DW News,Climate change to blame? 2021 produced the second-costliest disasters on record | DW News,21K,21K views,,2022-01-31 12:57:40.723495
/watch?v=fHF4HHeOtkc,/c/BBCNews,BBC News,How climate change is making inequality worse - BBC News,72K,72K views,,2022-01-31 12:57:40.729913
/watch?v=ZfFvLJyPf3o,/c/RealLifeLore,RealLifeLore,How Earth’s Geography Will Change With Climate Change,1.7M,1.7M views,,2022-01-31 12:57:40.735680
/watch?v=cn9PhiDJp-A,/c/Hopscotchsongs,Hopscotch,Climate Change Song,655K,655K views,,2022-01-31 12:57:40.741312
/watch?v=DkZ7BJQupVA,/c/Vox,Vox,Why humans are so bad at thinking about climate change,2.2M,2.2M views,,2022-01-31 12:57:40.747814
/watch?v=hatkGFTPyUE,/c/joerogan,PowerfulJRE,Michael Shellenberger on Climate Change Alarmism,1.3M,1.3M views,,2022-01-31 12:57:40.753923
/watch?v=RVcsV_-erys,/c/guardianwires,Guardian News,2050: what happens if we ignore the climate crisis,106K,106K views,,2022-01-31 12:57:40.767108
/watch?v=l2QjDA9QgNE,/c/60minutes,60 Minutes,60 Minutes climate archive: Rewriting the Science,57K,57K views,,2022-01-31 12:57:40.778870
/watch?v=sZB1YtQtHjE,/c/joescott,Joe Scott,Busting Climate Change Myths | Answers With Joe,988K,988K views,,2022-01-31 12:57:40.785195
/watch?v=2PRJL07-WK0,/user/BBC,BBC,David Attenborough: 'This is the last chance' to address climate change | BBC,223K,223K views,,2022-01-31 12:57:40.790991
/watch?v=Jn4cLjtiY-s,/c/TheDailyShow,The Daily Show with Trevor Noah,The Consequences of Climate Change You May Not Know About | The Daily Show,425K,425K views,,2022-01-31 12:57:40.798460
/watch?v=wcMLFMsIVis,/c/vlogbrothers,vlogbrothers,How We Fix the Climate,509K,509K views,,2022-01-31 12:57:40.805076
/watch?v=RRDl0ETzjRc,/c/TheOriginsPodcast,The Origins Podcast,5 Misconceptions about Climate Change | Science Matters EP12,65K,65K views,,2022-01-31 12:57:40.812588
/watch?v=TbW_1MtC2So,/c/AsapSCIENCE,AsapSCIENCE,The Biggest Lie About Climate Change,1.8M,1.8M views,,2022-01-31 12:57:40.818698
